state,maternal_mortality_rate_per_100k,data_period,reliability_flag
AL,38.6,2018-2022,reliable
AK,,2018-2022,suppressed
AZ,30.0,2018-2022,reliable
AR,38.3,2018-2022,reliable
CA,10.5,2018-2022,reliable
CO,16.0,2018-2022,reliable
CT,15.6,2018-2022,reliable
DE,,2018-2022,suppressed
DC,,2018-2022,suppressed
FL,24.1,2018-2022,reliable
GA,32.1,2018-2022,reliable
HI,,2018-2022,suppressed
ID,20.0,2018-2022,reliable
IL,18.1,2018-2022,reliable
IN,30.9,2018-2022,reliable
IA,19.5,2018-2022,reliable
KS,22.8,2018-2022,reliable
KY,34.6,2018-2022,reliable
LA,37.3,2018-2022,reliable
ME,,2018-2022,suppressed
MD,21.3,2018-2022,reliable
MA,16.4,2018-2022,reliable
MI,19.1,2018-2022,reliable
MN,12.3,2018-2022,reliable
MS,39.1,2018-2022,reliable
MO,23.8,2018-2022,reliable
MT,,2018-2022,suppressed
NE,25.1,2018-2022,reliable
NV,20.4,2018-2022,reliable
NH,,2018-2022,suppressed
NJ,26.0,2018-2022,reliable
NM,28.0,2018-2022,reliable
NY,22.4,2018-2022,reliable
NC,26.7,2018-2022,reliable
ND,,2018-2022,suppressed
OH,24.5,2018-2022,reliable
OK,29.6,2018-2022,reliable
OR,16.6,2018-2022,reliable
PA,17.5,2018-2022,reliable
RI,,2018-2022,suppressed
SC,32.3,2018-2022,reliable
SD,,2018-2022,suppressed
TN,41.1,2018-2022,reliable
TX,28.2,2018-2022,reliable
UT,15.5,2018-2022,reliable
VT,,2018-2022,suppressed
VA,32.7,2018-2022,reliable
WA,18.0,2018-2022,reliable
WV,23.9,2018-2022,reliable
WI,13.2,2018-2022,reliable
WY,,2018-2022,suppressed
